profile_id,display_label,domain,term_type,curated_umbrella,lexicon_provenance,candidate_origins,evidence_count,source_count,latest_year,declared_confidence_0_10,declared_disposition,evidence_snippets,standardization_disposition,standardized_label,concept_id,source_vocabulary,semantic_types,match_method,normalization_confidence_0_10,normalization_reason,mesh_umbrella,public_umbrella,umbrella_method
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Biomedical Engineering,engineering,research_area,Biomedical Engineering,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Biomedical Engineering,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Data Analysis,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Machine Learning,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Neuroimaging,medical,research_area,Neuroimaging and Medical Imaging,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",accepted,Neuroimaging,C0679575,MSH,Diagnostic Procedure,umls_exact,10.0,filtered UMLS concept with curated HBI umbrella,Imaging and Diagnostics,Neuroimaging and Medical Imaging,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Python,computing,tool,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Signal Processing,engineering,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
04c0502c-e2fa-4de1-b7e4-1e471df6d292,Epilepsy,medical,research_area,Neurological and Neurodegenerative Disorders,linkedin_expertise_lexicon_v1,linkedin_experience_description_current,1,1,2026,7.95,publish,"Worked in Dr. Teskey's Lab conducting epilepsy research. Tasks included: - Performed recovery brain surgery on rodents - Conducted data collection using animal models, including seizure administration, treatment with various nutraceuticals, behavioural experiments, and enzymatic expression analyses - Graphed and analyzed data - Presented research at the Hotchkiss Brain Institute (HBI) Summer Student Symposium Program",accepted,Epilepsy,D004827,MSH,,mesh_reviewed_alias,9.9,reviewed local alias plus MeSH hierarchy umbrella,Neurological Disorders,Neurological and Neurodegenerative Disorders,versioned LinkedIn expertise lexicon
04c0502c-e2fa-4de1-b7e4-1e471df6d292,Mathematics,science,research_area,Physical and Mathematical Sciences,linkedin_expertise_lexicon_v1,linkedin_experience_description_current,1,1,2026,7.95,publish,Providing personalized academic support in mathematics and science to K-12 students of varied skill levels - Developing lesson plans and strategies to address student's academic needs and enhance understanding and test performance - Communicating with students and parents to provide feedback to encourage improvement - Applying problem-solving skills to address individual learning needs to help students grasp challenging concepts,review,Mathematics,D008433,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,,Physical and Mathematical Sciences,versioned LinkedIn expertise lexicon
05294035-6509-4928-8f61-52aaa10ad166,Biotechnology,engineering,research_area,Biomedical Engineering,linkedin_expertise_lexicon_v1,linkedin_about,1,1,0,8.55,publish,Randall Marusyk is a partner of the firm and has been certified as a specialist in all areas of Canadian Intellectual Property Law (Patent/Trademark/Copyright) by the Law Society of Upper Canada. Randall specializes in designing strategic intellectual property portfolios in light of clients business and marketplace needs. He has extensive experience in drafting and prosecuting a variety of patent applications before the Canadian and United States Patent Offices as well as coordinating their prosecution worldwide. Randall has particular expertise in drafting and prosecuting a wide range of pate,not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Biomedical Engineering,versioned LinkedIn expertise lexicon
0a1e9130-a8fc-485a-86f6-cf3bcf6abafe,Biomedical Engineering,engineering,research_area,Biomedical Engineering,linkedin_expertise_lexicon_v1,linkedin_headline,1,1,0,9.55,publish,Biomedical Engineering PhD Candidate @ Hotchkiss Brain Institute | University of Calgary | CEO at Novara ML,not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Biomedical Engineering,versioned LinkedIn expertise lexicon
0a1e9130-a8fc-485a-86f6-cf3bcf6abafe,Machine Learning,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_headline,1,1,0,9.55,publish,Biomedical Engineering PhD Candidate @ Hotchkiss Brain Institute | University of Calgary | CEO at Novara ML,not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Clinical Neuroscience,medical,clinical_specialty,Neuroscience,linkedin_expertise_lexicon_v1,linkedin_experience_description_current | linkedin_experience_title_current,2,2,2026,9.9,publish,"Department of Clinical Neuroscience EDIA Committee Member | University of Calgary || • Served as a member of the Equity, Diversity, Inclusion & Accessibility (EDI&A) Committee at the University of Calgary. • Advised on developing guidance for opportunities, enhancing transparency for candidates. • Collaborated to define core EDIA principles, fostering a respectful culture in clinical neuroscience. • Supported the creation of a centralized resource hub for integrating EDIA principles into research practices.",accepted,Neurosciences,D009488,MSH,,mesh_fallback,9.7,local MeSH fallback after broad UMLS candidate search,Neuroscience and Neural Systems,Neuroscience,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Health Equity,medical,research_area,,hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_about | linkedin_experience_description_current | linkedin_skill,3,3,2026,9.9,publish,"MSc Neuroscience researcher and Co-Executive Director of the Brain Climate Equity Collaborative, working at the intersection of neurological health, climate justice, and health equity. My work focuses on translating research into real-world impact, advancing climate-resilient approaches to neurological health, and building initiatives that center community and inclusion. || Health Equity || Co-founded and lead Canada's first national organization at the intersection of brain health, climate justice, and health equity. Built from the ground up while completing a graduate degree in neuroscience, Brain-CE Collab now operates a 40+ fellow network, a 10-person expert board, and 15+ active research and advocacy projects spanning local, national, and international partnerships in 45 countries. Responsible for organizational strategy, fundraising, research leadership, partnership development, fellow recruitment and mentorship, and public communications. Our founding article was republish",review,Health Equity,D000069576,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,,,
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Mental Health,medical,research_area,Mental Health and Psychiatry,linkedin_expertise_lexicon_v1,linkedin_skill,1,1,0,9.9,publish,Mental Health,accepted,Mental Health,C0025353,MSH,Mental Process,umls_exact,9.53,filtered UMLS concept with curated HBI umbrella,Mental Health,Mental Health and Psychiatry,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Neurology,medical,research_area,Neuroscience and Neural Systems,hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_skill,1,1,0,9.9,publish,Neurology,accepted,Neurology,D009462,MSH,,mesh_reviewed_alias,9.8,reviewed local alias plus MeSH hierarchy umbrella,Neuroscience and Neural Systems,Neuroscience and Neural Systems,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Neuroscience,medical,research_area,Neuroscience,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_experience_description_current | linkedin_experience_description_recent | linkedin_experience_title_current | linkedin_headline,7,5,2026,9.9,publish,"CIHR CGSM Scholar | Co-Executive Director of Brain Climate Equity Collaborative | UCalgary WRC Distinguished Graduate Student 2026 | MSc Neuroscience Researcher || MSc Neuroscience researcher and Co-Executive Director of the Brain Climate Equity Collaborative, working at the intersection of neurological health, climate justice, and health equity. My work focuses on translating research into real-world impact, advancing climate-resilient approaches to neurological health, and building initiatives that center community and inclusion. || Co-founded and lead Canada's first national organization at the intersection of brain health, climate justice, and health equity. Built from the ground up while completing a graduate degree in neuroscience, Brain-CE Collab now operates a 40+ fellow network, a 10-person expert board, and 15+ active research and advocacy projects spanning local, national, and international partnerships in 45 countries. Responsible for organizational strategy, fundraising, research leadership, partnership development, fellow recruitment and mentorship, and public communications. Our founding article was republish || Department of Clinical Neuroscience EDIA Committee Member | University of Calgary || • Served as a member of the Equity, Diversity, Inclusion & Accessibility (EDI&A) Committee at the University of Calgary. • Advised on developing guidance for opportunities, enhancing transparency for candidates. • Collaborated to define core EDIA principles, fostering a respectful culture in clinical neuroscience. • Supported the creation of a centralized resource hub for integrating EDIA principles into research practices. || • Managed and contributed to multidisciplinary research projects utilizing cutting-edge neurotechnology. • Ensured timely and high-quality ",accepted,Neurosciences,D009488,MSH,,mesh_fallback,9.7,local MeSH fallback after broad UMLS candidate search,Neuroscience and Neural Systems,Neuroscience,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Public Health,medical,research_area,Population and Public Health,hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_skill,1,1,0,9.9,publish,Public Health,accepted,Public Health,D011634,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,Population and Public Health,Population and Public Health,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Women's Health,medical,research_area,,hbi_hybrid_accepted,linkedin_experience_description_current,1,1,2026,7.95,publish,"• Collaborated with a creative studio and art collective to merge visual storytelling with community advocacy. • Curated 10+ exhibitions showcasing over 50 original works, raising $10K+ for local nonprofits. • Engaged a diverse audience through narrative-driven art that challenges conventional perspectives. • Exhibited work at notable venues, including: Calgary Public Library — Women’s Health Symposium Glenbow Museum — Sacred Weft Showcase Foothills Medical Centre — Cycles of Renewal Okotoks Art Gallery — Cycles of Renewal",review,Women's Health,D016387,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,,,
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Artificial Intelligence,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_experience_description_recent,1,1,2025,6.95,publish,"• Founded and led an innovative educational platform, Brainwave, focusing on personalized learning through AI-driven tutoring. • Designed AI-integrated learning frameworks for over 10 students, achieving a 40% improvement in academic performance. • Developed and licensed customized curricula for educational institutions, scaling the platform's impact across diverse learning environments. • Successfully sold the company to a for-profit educational organization, expanding its reach across North America.",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Autism Spectrum Disorders,medical,research_area,Neurodevelopment and Pediatric Health,linkedin_expertise_lexicon_v1,linkedin_experience_description_recent,1,1,2023,6.95,publish,"• Developed original artwork that captured the essence of the Society for Autism Support and Services' mission. • Delivered high-quality pieces within tight deadlines, ensuring stakeholder satisfaction. • Collaborated closely with team members to align artistic vision with organizational values.",accepted,Autism Spectrum Disorder,C1510586,MSH,Mental or Behavioral Dysfunction,umls_exact,10.0,filtered UMLS concept with curated HBI umbrella,Mental Health,Neurodevelopment and Pediatric Health,versioned LinkedIn expertise lexicon
0c2aa172-9ee3-4815-a8e8-940f4c2e9e09,Data Analysis,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_experience_description_recent,1,1,2023,6.95,publish,"• Assisted in advanced research projects, focusing on experiment execution and data analysis. • Presented findings that informed lab decisions and encouraged collaborative problem-solving among team members. • Developed critical skills in research methodologies and data interpretation while contributing to a leading neuroscience institute.",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
12c2a5ab-4efc-4485-8621-5a08e597a132,Neuroscience,medical,research_area,Neuroscience,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_experience_description_recent,2,2,2022,9.2,publish,"I am the Open Science Coordinator at the Hotchkiss Brain Institute, where I work to advance open science practices that make research more transparent, accessible, and collaborative. In parallel, I work as a Research Coordinator in the Pediatric Onset of Neuromotor Impairments Lab, where I coordinate projects focused on motion capture for children with mobility challenges and robotic walking interventions. My work bridges research coordination, open science, and knowledge translation with a central goal: ensuring that scientific discoveries are not only rigorous but also accessible to research || Research Assistant- Department of Clinical Neuroscience, Cumming School of Medicine Better Mobility Lab - leading a team of undergraduate students, writing ethics and grant applications, conducting randomized clinical trial Pediatric Onset Neuromotor Impairment Lab - building an open science database, assisting in data collection and management, leading limits of stability outcome measures",accepted,Neurosciences,D009488,MSH,,mesh_fallback,9.7,local MeSH fallback after broad UMLS candidate search,Neuroscience and Neural Systems,Neuroscience,versioned LinkedIn expertise lexicon
12c2a5ab-4efc-4485-8621-5a08e597a132,Positron Emission Tomography,medical,method,Neuroimaging and Medical Imaging,linkedin_expertise_lexicon_v1,linkedin_experience_title_recent,1,1,2022,8.1,publish,Pet Care Technician | Country Club Pet Resort,accepted,Positron-Emission Tomography,C0032743,MSH,Diagnostic Procedure,umls_exact,10.0,filtered UMLS concept with curated HBI umbrella,Imaging and Diagnostics,Neuroimaging and Medical Imaging,versioned LinkedIn expertise lexicon
12c2a5ab-4efc-4485-8621-5a08e597a132,Clinical Neuroscience,medical,clinical_specialty,Neuroscience,linkedin_expertise_lexicon_v1,linkedin_experience_description_recent,1,1,2022,6.95,publish,"Research Assistant- Department of Clinical Neuroscience, Cumming School of Medicine Better Mobility Lab - leading a team of undergraduate students, writing ethics and grant applications, conducting randomized clinical trial Pediatric Onset Neuromotor Impairment Lab - building an open science database, assisting in data collection and management, leading limits of stability outcome measures",accepted,Neurosciences,D009488,MSH,,mesh_fallback,9.7,local MeSH fallback after broad UMLS candidate search,Neuroscience and Neural Systems,Neuroscience,versioned LinkedIn expertise lexicon
12c2a5ab-4efc-4485-8621-5a08e597a132,Clinical Trials,health,method,Clinical and Translational Research,linkedin_expertise_lexicon_v1,linkedin_experience_description_recent,1,1,2022,6.95,publish,"Research Assistant- Department of Clinical Neuroscience, Cumming School of Medicine Better Mobility Lab - leading a team of undergraduate students, writing ethics and grant applications, conducting randomized clinical trial Pediatric Onset Neuromotor Impairment Lab - building an open science database, assisting in data collection and management, leading limits of stability outcome measures",review,Clinical Trials as Topic,C0008976,MSH,Research Activity,umls_exact,9.33,medical UMLS concept found; HBI umbrella requires review,,Clinical and Translational Research,versioned LinkedIn expertise lexicon
12c2a5ab-4efc-4485-8621-5a08e597a132,Social Sciences,health,research_area,Social and Behavioural Sciences,linkedin_expertise_lexicon_v1,linkedin_experience_description_recent,1,1,2021,6.95,publish,"Writing book chapters focussed on natural sciences, social sciences, and history to teach and inspire continued learning.",review,Social Sciences,D012942,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,,Social and Behavioural Sciences,versioned LinkedIn expertise lexicon
132edda5-7e0f-4faf-9db7-4dcf646f9565,Public Health,medical,research_area,Population and Public Health,hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_skill,1,1,0,9.9,publish,Public Health,accepted,Public Health,D011634,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,Population and Public Health,Population and Public Health,versioned LinkedIn expertise lexicon
13797022-096e-490a-831c-1b09206cf6f5,Clinical Research,health,method,Clinical and Translational Research,linkedin_expertise_lexicon_v1,linkedin_skill,1,1,0,9.9,publish,Clinical Research,review,Clinical Study,C0008972,MSH,Research Activity,umls_exact,9.33,medical UMLS concept found; HBI umbrella requires review,,Clinical and Translational Research,versioned LinkedIn expertise lexicon
13797022-096e-490a-831c-1b09206cf6f5,Genetics,medical,research_area,Genetics and Genomics,hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_skill,1,1,0,9.9,publish,Medical Genetics,accepted,Genetics,D005823,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,Genetics and Genomics,Genetics and Genomics,versioned LinkedIn expertise lexicon
13797022-096e-490a-831c-1b09206cf6f5,Stress,medical,research_area,Mental Health and Psychiatry,linkedin_expertise_lexicon_v1,linkedin_publication_description | linkedin_publication_title,2,2,2025,8.4,publish,"Pharmacological activation of integrated stress response kinases inhibits pathological mitochondrial fragmentation || In this work, we show pharmacological activation of the Integrated Stress Response using small molecules promotes adaptive mitochondrial elongation. This proves to be a therapeutic tool for patient derived cells from a patient with CMT2a, harboring MFN2 D414V mutation. … more",review,Stress bismuth subsalicylate,C0723460,MTH,Organic Chemical | Pharmacologic Substance,umls_exact,9.28,medical UMLS concept found without a MeSH representation,,Mental Health and Psychiatry,versioned LinkedIn expertise lexicon
13797022-096e-490a-831c-1b09206cf6f5,Inflammation,medical,research_area,,hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_publication_title,1,1,2025,7.75,publish,The MFN2 Q367H variant reveals a novel pathomechanism connected to mtDNA-mediated inflammation,review,Inflammation,C0021368,MSH,Pathologic Function,umls_exact,9.6,medical UMLS concept found; HBI umbrella requires review,,,
17689c22-cf80-44cf-a1f0-671f6081695e,Bioengineering,engineering,research_area,Biomedical Engineering,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_experience_title_current,3,2,2026,9.9,publish,"Energetic, enthusiastic educator and researcher with expertise in chemical engineering, bioengineering of stem cells, and tissue engineering. Experience with running and expanding a multidisciplinary cross-faculty graduate program. Specialties: My research focus is on the generation of large numbers of stem cells and their differentiated progeny in controlled processes for clinical and therapeutic purposes - the scale-up of stem cell production in bioreactors. This is important because large numbers of stem cells are required for research and treatment of diseases ranging from Parkinson's dise || Director, Center for Bioengineering Research and Education (CBRE) | University of Calgary || Associate Director - Graduate, Centre for Bioengineering Research and Education | University of Calgary",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Biomedical Engineering,versioned LinkedIn expertise lexicon
