profile,profile_id,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,source_weight,tag_weight,research_tag_publishable
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude,mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude,,,,,no,mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude,Mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude,Mechanical Fatigue Of Whole Rabbit Tibiae Under Combined Compression Torsional Loading Is Better Explained By Strained Volume Than Peak Strain Magnitude,0.9,0.9,Mechanical Fatigue Of Whole Rabbit Tibiae Under Combined Compression Torsional Loading Is Better Explained By Strained Volume Than Peak Strain Magnitude
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Finite-element modelling to predict the fatigue life of rabbit tibiae subject to compression-torsional loading,finite-element modelling to predict the fatigue life of rabbit tibiae subject to compression-torsional loading,,,,,no,finite-element modelling to predict the fatigue life of rabbit tibiae subject to compression-torsional loading,Finite-element modelling to predict the fatigue life of rabbit tibiae subject to compression-torsional loading,Finite Element Modelling To Predict The Fatigue Life Of Rabbit Tibiae Subject To Compression Torsional Loading,0.9,0.9,Finite Element Modelling To Predict The Fatigue Life Of Rabbit Tibiae Subject To Compression Torsional Loading
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,"The focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation. Individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals, so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population",the focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population,,,,,no,the focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population,"The focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation. Individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals, so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population",Focus Of My Thesis Work Is To Better Understand And Treat Cardiovascular Dysfunction Following Spinal Cord Injury Through The Use Of Epidural Spinal Stimulation Individuals Living With Spinal Cord Injury Are At A Four Fold Greater Risk Of Developing Cardiovascular Disease Than Uninjured Individuals So Developing And Testing A Therapeutic For This Condition Is Of The Utmost Importance To Improve Health Outcomes In This Population,0.5,0.5,Focus Of My Thesis Work Is To Better Understand And Treat Cardiovascular Dysfunction Following Spinal Cord Injury Through The Use Of Epidural Spinal Stimulation Individuals Living With Spinal Cord Injury Are At A Four Fold Greater Risk Of Developing Cardiovascular Disease Than Uninjured Individuals So Developing And Testing A Therapeutic For This Condition Is Of The Utmost Importance To Improve Health Outcomes In This Population
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,"As a member of the Affiliate Management Committee, I am responsible for ensuring that there is a clear vision for Special Olympics Calgary that is founded in championing the health and social benefits afforded to Calgarians with an intellectual disability through the Special Olympics programs offered",as a member of the affiliate management committee i am responsible for ensuring that there is a clear vision for special olympics calgary that is founded in championing the health and social benefits afforded to calgarians with an intellectual disability through the special olympics programs offered,,,,,no,as a member of the affiliate management committee i am responsible for ensuring that there is a clear vision for special olympics calgary that is founded in championing the health and social benefits afforded to calgarians with an intellectual disability through the special olympics programs offered,"As a member of the Affiliate Management Committee, I am responsible for ensuring that there is a clear vision for Special Olympics Calgary that is founded in championing the health and social benefits afforded to Calgarians with an intellectual disability through the Special Olympics programs offered",Member Of The Affiliate Management Committee I Am Responsible For Ensuring That There Is A Clear Vision For Special Olympics Calgary That Is Founded In Championing The Health And Social Benefits Afforded To Calgarians With An Intellectual Disability Through The Special Olympics Programs Offered,0.5,0.5,Member Of The Affiliate Management Committee I Am Responsible For Ensuring That There Is A Clear Vision For Special Olympics Calgary That Is Founded In Championing The Health And Social Benefits Afforded To Calgarians With An Intellectual Disability Through The Special Olympics Programs Offered
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,"As Social Director for the HBITO, I was responsible for organizing and running the social events of the HBITO. The aim of these events was to bring together trainees from the HBI of all all levels (MSc, PhD, and Post-Doctoral Fellows) in an informal setting to get to know one another and foster a better sense of community",as social director for the hbito i was responsible for organizing and running the social events of the hbito the aim of these events was to bring together trainees from the hbi of all all levels msc phd and post-doctoral fellows in an informal setting to get to know one another and foster a better sense of community,,,,,no,as social director for the hbito i was responsible for organizing and running the social events of the hbito the aim of these events was to bring together trainees from the hbi of all all levels msc phd and post-doctoral fellows in an informal setting to get to know one another and foster a better sense of community,"As Social Director for the HBITO, I was responsible for organizing and running the social events of the HBITO. The aim of these events was to bring together trainees from the HBI of all all levels (MSc, PhD, and Post-Doctoral Fellows) in an informal setting to get to know one another and foster a better sense of community",Social Director For The HBITO I Was Responsible For Organizing And Running The Social Events Of The HBITO The Aim Of These Events Was To Bring Together Trainees From The HBI Of All All Levels Msc Phd And Post Doctoral Fellows In An Informal Setting To Get To Know One Another And Foster A Better Sense Of Community,0.5,0.5,Social Director For The HBITO I Was Responsible For Organizing And Running The Social Events Of The HBITO The Aim Of These Events Was To Bring Together Trainees From The HBI Of All All Levels Msc Phd And Post Doctoral Fellows In An Informal Setting To Get To Know One Another And Foster A Better Sense Of Community
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,"Line cook for JOEY Crowfoot. Responsibilities included preparing and cooking meals for customers, maintaining kitchen cleanliness, and training new cooks to the kitchen. After starting out as an appetizers cook, I was promoted to an entrée cook after only 4 shifts on the job",line cook for joey crowfoot responsibilities included preparing and cooking meals for customers maintaining kitchen cleanliness and training new cooks to the kitchen after starting out as an appetizers cook i was promoted to an entr e cook after only 4 shifts on the job,,,,,no,line cook for joey crowfoot responsibilities included preparing and cooking meals for customers maintaining kitchen cleanliness and training new cooks to the kitchen after starting out as an appetizers cook i was promoted to an entr e cook after only 4 shifts on the job,"Line cook for JOEY Crowfoot. Responsibilities included preparing and cooking meals for customers, maintaining kitchen cleanliness, and training new cooks to the kitchen. After starting out as an appetizers cook, I was promoted to an entrée cook after only 4 shifts on the job",Line Cook For JOEY Crowfoot Responsibilities Included Preparing And Cooking Meals For Customers Maintaining Kitchen Cleanliness And Training New Cooks To The Kitchen After Starting Out As An Appetizers Cook I Was Promoted To An Entr E Cook After Only 4 Shifts On The Job,0.5,0.5,Line Cook For JOEY Crowfoot Responsibilities Included Preparing And Cooking Meals For Customers Maintaining Kitchen Cleanliness And Training New Cooks To The Kitchen After Starting Out As An Appetizers Cook I Was Promoted To An Entr E Cook After Only 4 Shifts On The Job
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Locus coeruleus microcircuitry processes periaqueductal gray inputs into distinct outputs for regulation of pain and anxiety,locus coeruleus microcircuitry processes periaqueductal gray inputs into distinct outputs for regulation of pain and anxiety,,,,,no,locus coeruleus microcircuitry processes periaqueductal gray inputs into distinct outputs for regulation of pain and anxiety,Locus coeruleus microcircuitry processes periaqueductal gray inputs into distinct outputs for regulation of pain and anxiety,Locus Coeruleus Microcircuitry Processes Periaqueductal Gray Inputs Into Distinct Outputs For Regulation Of Pain And Anxiety,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Pannexin-1 channel inhibition alleviates opioid withdrawal by modulating locus coeruleus to spinal cord circuitry,pannexin-1 channel inhibition alleviates opioid withdrawal by modulating locus coeruleus to spinal cord circuitry,,,,,no,pannexin-1 channel inhibition alleviates opioid withdrawal by modulating locus coeruleus to spinal cord circuitry,Pannexin-1 channel inhibition alleviates opioid withdrawal by modulating locus coeruleus to spinal cord circuitry,Pannexin 1 Channel Inhibition Alleviates Opioid Withdrawal By Modulating Locus Coeruleus To Spinal Cord Circuitry,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Expression of GAD2 in excitatory neurons projecting from the ventrolateral periaqueductal gray to the locus coeruleus,expression of gad2 in excitatory neurons projecting from the ventrolateral periaqueductal gray to the locus coeruleus,,,,,no,expression of gad2 in excitatory neurons projecting from the ventrolateral periaqueductal gray to the locus coeruleus,Expression of GAD2 in excitatory neurons projecting from the ventrolateral periaqueductal gray to the locus coeruleus,Expression Of GAD2 In Excitatory Neurons Projecting From The Ventrolateral Periaqueductal Gray To The Locus Coeruleus,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Differential regulation of Cav3.2 and Cav2.2 calcium channels by CB1 receptors and cannabidiol,differential regulation of cav3 2 and cav2 2 calcium channels by cb1 receptors and cannabidiol,,,,,no,differential regulation of cav3 2 and cav2 2 calcium channels by cb1 receptors and cannabidiol,Differential regulation of Cav3.2 and Cav2.2 calcium channels by CB1 receptors and cannabidiol,Differential Regulation Of Cav3 2 And Cav2 2 Calcium Channels By CB1 Receptors And Cannabidiol,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Central and peripheral contributions of T-type calcium channels in pain,central and peripheral contributions of t-type calcium channels in pain,,,,,no,central and peripheral contributions of t-type calcium channels in pain,Central and peripheral contributions of T-type calcium channels in pain,Central And Peripheral Contributions Of T Type Calcium Channels In Pain,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,"The T-type calcium channel antagonist, Z944, reduces spinal excitability and pain hypersensitivity",the t-type calcium channel antagonist z944 reduces spinal excitability and pain hypersensitivity,T-Type Calcium Channels | Voltage-Dependent T-Type Calcium Channel Subunit Alpha-1G,t type calcium | type calcium channel | calcium channel antagonist,MTH,C0752118 | C3813552,yes,T-Type Calcium Channels | Voltage-Dependent T-Type Calcium Channel Subunit Alpha-1G,T-Type Calcium Channels,T Type Calcium Channels,0.9,0.7063636363636364,T Type Calcium Channels
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Chapter 17 - Changing Pain - Opioids and Pain,chapter 17 - changing pain - opioids and pain,,,,,no,chapter 17 - changing pain - opioids and pain,Chapter 17 - Changing Pain - Opioids and Pain,Chapter 17 Changing Pain Opioids And Pain,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Insights into spinal dorsal horn circuit function and dysfunction using optical approaches,insights into spinal dorsal horn circuit function and dysfunction using optical approaches,,spinal dorsal horn,,,no,insights into spinal dorsal horn circuit function and dysfunction using optical approaches,Insights into spinal dorsal horn circuit function and dysfunction using optical approaches,Insights Into Spinal Dorsal Horn Circuit Function And Dysfunction Using Optical Approaches,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,Intracellular calcium responses encode action potential firing in spinal cord lamina I neurons,intracellular calcium responses encode action potential firing in spinal cord lamina i neurons,,,,,no,intracellular calcium responses encode action potential firing in spinal cord lamina i neurons,Intracellular calcium responses encode action potential firing in spinal cord lamina I neurons,Intracellular Calcium Responses Encode Action Potential Firing In Spinal Cord Lamina I Neurons,0.9,0.9,
Erika Harding,b033cf86-58d8-4d70-b0e1-26881c3adb66,VIP cortical conductors set the tone for chronic pain,vip cortical conductors set the tone for chronic pain,,,,,no,vip cortical conductors set the tone for chronic pain,VIP cortical conductors set the tone for chronic pain,VIP Cortical Conductors Set The Tone For Chronic Pain,0.9,0.9,
Maeve Scotland,efdbc8f3-283f-4d55-8d4a-cf4403e08152,Circadian Rhythms,circadian rhythms,Circadian Rhythm Disorders,circadian rhythms,MSH,C0813142,yes,Circadian Rhythm Disorders,Circadian Rhythm Disorders,Circadian Rhythm,1.0,1.09,
Maeve Scotland,efdbc8f3-283f-4d55-8d4a-cf4403e08152,Student Trainee at University of Calgary,student trainee at university of calgary,,,,,no,student trainee at university of calgary,Student Trainee at University of Calgary,Student Trainee At University Of Calgary,1.0,1.0,
Maeve Scotland,efdbc8f3-283f-4d55-8d4a-cf4403e08152,"Agonists for glutamate, acetylcholine, and orexin cause non-photic phase shifts when applied to the intergeniculate leaflet",agonists for glutamate acetylcholine and orexin cause non-photic phase shifts when applied to the intergeniculate leaflet,,,,,no,agonists for glutamate acetylcholine and orexin cause non-photic phase shifts when applied to the intergeniculate leaflet,"Agonists for glutamate, acetylcholine, and orexin cause non-photic phase shifts when applied to the intergeniculate leaflet",Agonists For Glutamate Acetylcholine And Orexin Cause Non Photic Phase Shifts When Applied To The Intergeniculate Leaflet,0.9,0.9,
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Professor with a demonstrated history of leadership in the higher education,professor with a demonstrated history of leadership in the higher education,,,,,no,professor with a demonstrated history of leadership in the higher education,Professor with a demonstrated history of leadership in the higher education,Professor With A Demonstrated History Of Leadership In The Higher Education,0.8,0.8,
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Skilled in MR Imaging,skilled in mr imaging,,,,,no,skilled in mr imaging,Skilled in MR Imaging,Skilled In MR Imaging,0.8,0.8,
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Clinical Research,clinical research,Clinical Research | research clinical testing | Clinical Nursing Research,clinical research,MTH | MSH,C0008972 | C1516634 | C0008967,yes,Clinical Research | research clinical testing | Clinical Nursing Research,Clinical Research,Clinical Research,0.8,1.12,
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Biomedical Engineering,biomedical engineering,Biomedical Cement,biomedical engineering,MTH,C1704479,yes,Biomedical Cement,Biomedical Engineering,Biomedical Engineering,0.8,0.62,
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Medical Physics,medical physics,,medical physics,,,no,medical physics,Medical Physics,Medical Physics,0.8,0.8,
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,and Science,and science,,and science,,,no,and science,and Science,Science,0.8,0.8,Science
Richard Frayne,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Professional with a Doctor of Philosophy (PhD) in Medical Biophysics from Western University,professional with a doctor of philosophy phd in medical biophysics from western university,,,,,no,professional with a doctor of philosophy phd in medical biophysics from western university,Professional with a Doctor of Philosophy (PhD) in Medical Biophysics from Western University,Professional With A Doctor Of Philosophy Phd In Medical Biophysics From Western University,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis,i am a biomedical engineering phd candidate at the university of calgary specializing in machine learning applications for fmri data analysis,,,,,no,i am a biomedical engineering phd candidate at the university of calgary specializing in machine learning applications for fmri data analysis,I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis,I Am A Biomedical Engineering Phd Candidate At The University Of Calgary Specializing In Machine Learning Applications For Fmri Data Analysis,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data,my research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data,,,,,no,my research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data,My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data,My Research Involves Estimating Physiological Fluctuations Such As Respiratory And Heart Rate Variability Directly From Imaging Data,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,leveraging CNNs and large datasets like the Human Connectome Project,leveraging cnns and large datasets like the human connectome project,,,,,no,leveraging cnns and large datasets like the human connectome project,leveraging CNNs and large datasets like the Human Connectome Project,Leveraging Cnns And Large Datasets Like The Human Connectome Project,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,Passionate about innovative solutions in biomedical imaging,passionate about innovative solutions in biomedical imaging,,,,,no,passionate about innovative solutions in biomedical imaging,Passionate about innovative solutions in biomedical imaging,Passionate About Innovative Solutions In Biomedical Imaging,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,I aim to advance non-invasive physiological measurement techniques for both clinical and research applications,i aim to advance non-invasive physiological measurement techniques for both clinical and research applications,,,,,no,i aim to advance non-invasive physiological measurement techniques for both clinical and research applications,I aim to advance non-invasive physiological measurement techniques for both clinical and research applications,I Aim To Advance Non Invasive Physiological Measurement Techniques For Both Clinical And Research Applications,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,For a full list of my publications,for a full list of my publications,,full list,,,no,for a full list of my publications,For a full list of my publications,Full List Of My Publications,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,please visit my Google Scholar profile,please visit my google scholar profile,,,,,no,please visit my google scholar profile,please visit my Google Scholar profile,Please Visit My Google Scholar Profile,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,https,https,,https,,,no,https,https,Https,0.8,0.8,Https
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,//scholar,scholar,,scholar,,,no,scholar,//scholar,Scholar,0.8,0.8,Scholar
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,google,google,,google,,,no,google,google,Google,0.8,0.8,Google
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,ca/citations,ca citations,,,,,no,ca citations,ca/citations,Ca Citations,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,hl=en&user=VQZ39nkAAAAJ,hl en user vqz39nkaaaaj,,,,,no,hl en user vqz39nkaaaaj,hl=en&user=VQZ39nkAAAAJ,Hl En User VQZ39Nkaaaaj,0.8,0.8,
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters,machine learning-based estimation of respiratory fluctuations in a healthy adult population using resting state bold fmri and head motion parameters,,,,,no,machine learning-based estimation of respiratory fluctuations in a healthy adult population using resting state bold fmri and head motion parameters,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters,Machine Learning Based Estimation Of Respiratory Fluctuations In A Healthy Adult Population Using Resting State BOLD Fmri And Head Motion Parameters,0.9,0.9,Machine Learning Based Estimation Of Respiratory Fluctuations In A Healthy Adult Population Using Resting State BOLD Fmri And Head Motion Parameters
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI,image translation for estimating two dimensional axial amyloid beta pet from structural mri,,,,,no,image translation for estimating two dimensional axial amyloid beta pet from structural mri,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI,Image Translation For Estimating Two Dimensional Axial Amyloid Beta PET From Structural MRI,0.9,0.9,Image Translation For Estimating Two Dimensional Axial Amyloid Beta PET From Structural MRI
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging,limitations of the derived respiratory variation measurements used in functional magnetic resonance imaging,,,,,no,limitations of the derived respiratory variation measurements used in functional magnetic resonance imaging,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging,Limitations Of The Derived Respiratory Variation Measurements Used In Functional Magnetic Resonance Imaging,0.9,0.9,Limitations Of The Derived Respiratory Variation Measurements Used In Functional Magnetic Resonance Imaging
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population,direct machine learning reconstruction of respiratory variation waveforms from resting state fmri data in a pediatric population,,,,,no,direct machine learning reconstruction of respiratory variation waveforms from resting state fmri data in a pediatric population,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population,Direct Machine Learning Reconstruction Of Respiratory Variation Waveforms From Resting State Fmri Data In A Pediatric Population,0.9,0.9,Direct Machine Learning Reconstruction Of Respiratory Variation Waveforms From Resting State Fmri Data In A Pediatric Population
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis,an intelligent system based on optimized anfis and association rules for power transformer fault diagnosis,,,,,no,an intelligent system based on optimized anfis and association rules for power transformer fault diagnosis,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis,Intelligent System Based On Optimized ANFIS And Association Rules For Power Transformer Fault Diagnosis,0.9,0.9,Intelligent System Based On Optimized ANFIS And Association Rules For Power Transformer Fault Diagnosis
Abdoljalil Addeh,f51d9950-317d-4686-bb1b-d74cfed898dc,Control chart pattern recognition using RBF neural network with new training algorithm and practical features,control chart pattern recognition using rbf neural network with new training algorithm and practical features,,,,,no,control chart pattern recognition using rbf neural network with new training algorithm and practical features,Control chart pattern recognition using RBF neural network with new training algorithm and practical features,Control Chart Pattern Recognition Using RBF Neural Network With New Training Algorithm And Practical Features,0.9,0.9,Control Chart Pattern Recognition Using RBF Neural Network With New Training Algorithm And Practical Features
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,As a Software Developer & Data Scientist specializing in health tech,as a software developer data scientist specializing in health tech,,,,,no,as a software developer data scientist specializing in health tech,As a Software Developer & Data Scientist specializing in health tech,Software Developer Data Scientist Specializing In Health Tech,0.8,0.8,Software Developer Data Scientist Specializing In Health Tech
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,I build scalable,i build scalable,,,,,no,i build scalable,I build scalable,I Build Scalable,0.8,0.8,I Build Scalable
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,production-grade software that seamlessly integrates advanced AI and machine learning capabilities into clinical workflows,production-grade software that seamlessly integrates advanced ai and machine learning capabilities into clinical workflows,,,,,no,production-grade software that seamlessly integrates advanced ai and machine learning capabilities into clinical workflows,production-grade software that seamlessly integrates advanced AI and machine learning capabilities into clinical workflows,Production Grade Software That Seamlessly Integrates Advanced AI And Machine Learning Capabilities Into Clinical Workflows,0.8,0.8,Production Grade Software That Seamlessly Integrates Advanced AI And Machine Learning Capabilities Into Clinical Workflows
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,Currently developing robust software systems at the University of Calgary,currently developing robust software systems at the university of calgary,,,,,no,currently developing robust software systems at the university of calgary,Currently developing robust software systems at the University of Calgary,Currently Developing Robust Software Systems At The University Of Calgary,0.8,0.8,Currently Developing Robust Software Systems At The University Of Calgary
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,my expertise lies at the intersection of full-stack software architecture and applied AI,my expertise lies at the intersection of full-stack software architecture and applied ai,,,,,no,my expertise lies at the intersection of full-stack software architecture and applied ai,my expertise lies at the intersection of full-stack software architecture and applied AI,My Expertise Lies At The Intersection Of Full Stack Software Architecture And Applied AI,0.8,0.8,My Expertise Lies At The Intersection Of Full Stack Software Architecture And Applied AI
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,I focus on transforming complex clinical datasets and Electronic Health Records (EHR) into reliable,i focus on transforming complex clinical datasets and electronic health records ehr into reliable,,,,,no,i focus on transforming complex clinical datasets and electronic health records ehr into reliable,I focus on transforming complex clinical datasets and Electronic Health Records (EHR) into reliable,I Focus On Transforming Complex Clinical Datasets And Electronic Health Records EHR Into Reliable,0.8,0.8,I Focus On Transforming Complex Clinical Datasets And Electronic Health Records EHR Into Reliable
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,high-performance applications that improve patient outcomes,high-performance applications that improve patient outcomes,,,,,no,high-performance applications that improve patient outcomes,high-performance applications that improve patient outcomes,High Performance Applications That Improve Patient Outcomes,0.8,0.8,High Performance Applications That Improve Patient Outcomes
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,Key Highlights & Expertise,key highlights expertise,,,,,no,key highlights expertise,Key Highlights & Expertise,Key Highlights Expertise,0.8,0.8,Key Highlights Expertise
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,AI-Applied Software Engineering,ai-applied software engineering,,,,,no,ai-applied software engineering,AI-Applied Software Engineering,AI Applied Software Engineering,0.8,0.8,AI Applied Software Engineering
Shiva Heydari,778f461f-2111-46bb-9a89-f85ae4e0bc64,Architected an end-to-end clinical risk prediction application,architected an end-to-end clinical risk prediction application,Drug treatment stopped at end of clinical trial,end end clinical,SNOMEDCT_US,C2316597,yes,Drug treatment stopped at end of clinical trial,Architected an end-to-end clinical risk prediction application,Architected An End To End Clinical Risk Prediction Application,0.8,0.6885714285714286,Architected An End To End Clinical Risk Prediction Application
